entry	contents_key	printed_span	scan_span	expected_kural_count	chapter_assignments	status
1	வையத்துள் வாழ்வாங்கு	17–19	34–36	1	Ch 5 இல்வாழ்க்கை / 50	RESOLVED
2	அ. காலை அரும்பி / ஆ. அழல்போலும் மாலைக்கு	20–21	37–38	2	Ch 123 பொழுதுகண்டு இரங்கல் / 1227, 1228	RESOLVED
3	குழலினிது யாழினிது	22–23	39–40	1	Ch 7 மக்கட்பேறு / 66	RESOLVED
4	அ. ஒருமைக்கண் தான்கற்ற / ஆ. ஓர்த்துள்ளம் உள்ளது	24–25	41–42	2	Ch 40 கல்வி / 398 || Ch 36 மெய்யுணர்தல் / 357	RESOLVED
5	அ. இருநோக்கு இவளுண்கண் / ஆ. யான்நோக்குங்காலை	26–27	43–44	2	Ch 110 குறிப்பறிதல் / 1091, 1094	RESOLVED
6	சொல்லுதல் யார்க்கும்	28–30	45–47	1	Ch 67 வினைத்திட்பம் / 664	RESOLVED
7	உறாஅர்க்கு உறு நோய்	31–32	48–49	1	Ch 120 தனிப்படர் மிகுதி / 1200	RESOLVED
8	அறத்தாறு இதுவென	33–34	50–51	1	Ch 4 அறன் வலியுறுத்தல் / 37	RESOLVED
9	அற்றேமென்று அல்லல்	35–36	52–53	1	Ch 63 இடுக்கண் அழியாமை / 626	RESOLVED
10	அ. மதியும் மடந்தை / ஆ. தாம்வீழ்வார் மென்றோள்	37–38	54–55	2	Ch 112 நலம் புனைந்துரைத்தல் / 1116 || Ch 111 புணர்ச்சி மகிழ்தல் / 1103	RESOLVED
11	வாள்போல் பகைவரை	39–40	56–57	1	Ch 89 உட்பகை / 882	RESOLVED
12	அ. கெடுப்பதூஉம் கெட்டார்க்கு / ஆ. தெய்வந் தொழாஅள்	41–42	58–59	2	Ch 2 வான்சிறப்பு / 15 || Ch 6 வாழ்க்கைத் துணை நலம் / 55	RESOLVED
13	மறமானம் மாண்ட	43–44	60–61	1	Ch 77 படைமாட்சி / 766	RESOLVED
14	அ. தொழிலொடு தோள்நெகிழ / ஆ. நனவினால் நல்கா / இ. கயலுண்கண் யானிரப்ப	45–46	62–63	3	Ch 124 உறுப்பு நலனழிதல் / 1236 || Ch 122 கனவு நிலையுரைத்தல் / 1213, 1212	RESOLVED
15	நாடொறும் நாடி	47–48	64–65	1	Ch 56 கொடுங்கோன்மை / 553	RESOLVED
16	பயனில்சொல் பாராட்டு	49–50	66–67	1	Ch 20 பயனில சொல்லாமை / 196	RESOLVED
17	பழுதெண்ணும் மந்திரியின்	51–52	68–69	1	Ch 64 அமைச்சு / 639	RESOLVED
18	அ. காணிற் குவளை / ஆ. அனிச்சமும் அன்னத்தின் / இ. கருமணியிற் பாவாய்நீ	53–54	70–71	3	Ch 112 நலம்புனைந்துரைத்தல் / 1114, 1120 || Ch 113 காதற் சிறப்புரைத்தல் / 1123	RESOLVED
19	அவையறியார் சொல்லல்மேற்	55–56	72–73	1	Ch 72 அவை அறிதல் / 713	RESOLVED
20	அற்றார் அழிபசி	57–58	74–75	1	Ch 23 ஈகை / 226	RESOLVED
21	அல்லற்பட்டு ஆற்றாது	59–60	76–77	1	Ch 56 கொடுங்கோன்மை / 555	RESOLVED
22	ஒஒ இனிதே	61–61	78–78	1	Ch 118 கண்விதுப்பழிதல் / 1176	RESOLVED
23	இழத்தொறூஉம் காதலிக்கும்	62–63	79–80	1	Ch 94 சூது / 940	RESOLVED
24	அவர்தந்தார் என்னும்	64–65	81–82	1	Ch 119 பசப்புறுபருவரல் / 1182	RESOLVED
25	வேலன்று வென்றி	66–67	83–84	1	Ch 55 செங்கோன்மை / 546	RESOLVED
26	நனவென ஒன்றில்லை	68–69	85–86	1	Ch 122 கனவுநிலையுரைத்தல் / 1216	RESOLVED
