entry	contents_key	printed_start	printed_end	scan_start	scan_end	expected_kural_count	status	chapter_numbers	kural_numbers	leaf_path
1	வையத்துள் வாழ்வாங்கு	17	19	34	36	1	RESOLVED	5	50	entry-001.md
2	அ. காலை அரும்பி / ஆ. அழல்போலும் மாலைக்கு	20	21	37	38	2	RESOLVED	123	1227,1228	entry-002.md
3	குழலினிது யாழினிது	22	23	39	40	1	RESOLVED	7	66	entry-003.md
4	அ. ஒருமைக்கண் தான்கற்ற / ஆ. ஓர்த்துள்ளம் உள்ளது	24	25	41	42	2	RESOLVED	40,36	398,357	entry-004.md
5	அ. இருநோக்கு இவளுண்கண் / ஆ. யான்நோக்குங்காலை	26	27	43	44	2	RESOLVED	110	1091,1094	entry-005.md
6	சொல்லுதல் யார்க்கும்	28	30	45	47	1	RESOLVED	67	664	entry-006.md
7	உறாஅர்க்கு உறு நோய்	31	32	48	49	1	RESOLVED	120	1200	entry-007.md
8	அறத்தாறு இதுவென	33	34	50	51	1	RESOLVED	4	37	entry-008.md
9	அற்றேமென்று அல்லல்	35	36	52	53	1	RESOLVED	63	626	entry-009.md
10	அ. மதியும் மடந்தை / ஆ. தாம்வீழ்வார் மென்றோள்	37	38	54	55	2	RESOLVED	112,111	1116,1103	entry-010.md
11	வாள்போல் பகைவரை	39	40	56	57	1	RESOLVED	89	882	entry-011.md
12	அ. கெடுப்பதூஉம் கெட்டார்க்கு / ஆ. தெய்வந் தொழாஅள்	41	42	58	59	2	RESOLVED	2,6	15,55	entry-012.md
13	மறமானம் மாண்ட	43	44	60	61	1	RESOLVED	77	766	entry-013.md
14	அ. தொழிலொடு தோள்நெகிழ / ஆ. நனவினால் நல்கா / இ. கயலுண்கண் யானிரப்ப	45	46	62	63	3	RESOLVED	124,122	1236,1213,1212	entry-014.md
15	நாடொறும் நாடி	47	48	64	65	1	RESOLVED	56	553	entry-015.md
16	பயனில்சொல் பாராட்டு	49	50	66	67	1	RESOLVED	20	196	entry-016.md
17	பழுதெண்ணும் மந்திரியின்	51	52	68	69	1	RESOLVED	64	639	entry-017.md
18	அ. காணிற் குவளை / ஆ. அனிச்சமும் அன்னத்தின் / இ. கருமணியிற் பாவாய்நீ	53	54	70	71	3	RESOLVED	112,113	1114,1120,1123	entry-018.md
19	அவையறியார் சொல்லல்மேற்	55	56	72	73	1	RESOLVED	72	713	entry-019.md
20	அற்றார் அழிபசி	57	58	74	75	1	RESOLVED	23	226	entry-020.md
21	அல்லற்பட்டு ஆற்றாது	59	60	76	77	1	RESOLVED	56	555	entry-021.md
22	ஒஒ இனிதே	61	61	78	78	1	RESOLVED	118	1176	entry-022.md
23	இழத்தொறூஉம் காதலிக்கும்	62	63	79	80	1	RESOLVED	94	940	entry-023.md
24	அவர்தந்தார் என்னும்	64	65	81	82	1	RESOLVED	119	1182	entry-024.md
25	வேலன்று வென்றி	66	67	83	84	1	RESOLVED	55	546	entry-025.md
26	நனவென ஒன்றில்லை	68	69	85	86	1	RESOLVED	122	1216	entry-026.md
27	இறந்தமைந்த சார்புடைய	70	71	87	88	1	RESOLVED	90	900	entry-027.md
28	அ. காமமும் நாணும் / ஆ. கரத்தலும் ஆற்றேன் இந் / இ. புல்லிக் கிடந்தேன்	72	73	89	90	3	RESOLVED	117,119	1163,1162,1187	entry-028.md
29	கனை கொடிது யாழ்கோடு	74	75	91	92	1	RESOLVED	28	279	entry-029.md
30	அ. மறைப்பெறல் ஊரார்க்கு / ஆ. வாராக்கால் துஞ்சா	76	77	93	94	2	RESOLVED	118	1180,1179	entry-030.md
31	கண்ணுடையர் என்பவர்	78	79	95	96	1	RESOLVED	40	393	entry-031.md
32	அ. சிறுமை நமக்கொழிய / ஆ. முயக்கிடைத் தண்வளி	80	81	97	98	2	RESOLVED	124	1231,1239	entry-032.md
33	நெடுநீர் மறவி	82	84	99	101	1	RESOLVED	61	605	entry-033.md
34	புலப்பல் எனச் சென்றேன்	85	86	102	103	1	RESOLVED	126	1259	entry-034.md
35	அமரகத்து ஆற்றறுக்கும்	87	88	104	105	1	RESOLVED	82	814	entry-035.md
36	செல்விடத்துக் காப்பான்	89	90	106	107	1	RESOLVED	31	301	entry-036.md
37	வாளாற்றுப் புற்கென்ற	91	91	108	108	1	RESOLVED	127	1261	entry-037.md
38	அ. விரைந்து தொழில்கேட்கும் / ஆ. இணரூழ்த்தும் நாறா	92	94	109	111	2	RESOLVED	65	648,650	entry-038.md
39	ஊடுதல் காமத்திற்கு	95	96	112	113	1	RESOLVED	133	1330	entry-039.md
40	நுண்மாண் நுழைபுலம்	97	98	114	115	1	RESOLVED	41	407	entry-040.md
41	உள்ளக் களித்தலும்	99	99	116	116	1	RESOLVED	129	1281	entry-041.md
42	அ. பொய்மையும் வாய்மை / ஆ. தன்னெஞ் சறிவது	100	101	117	118	2	RESOLVED	30	292,293	entry-042.md
43	எழுதுங்கால் கோல்காணா	102	103	119	120	1	RESOLVED	129	1285	entry-043.md
44	தேரான் தெளிவும்	104	106	121	123	1	RESOLVED	51	510	entry-044.md
45	அவர்நெஞ்சு அவர்க்காதல்	107	108	124	125	1	RESOLVED	130	1291	entry-045.md
46	அ. என்பி லதனை / ஆ. தொழுத கையுள்ளும்	109	110	126	127	2	PARTIAL-SOURCE-METADATA	83	828	entry-046.md
47	அ. வழுத்தினாள் தும்மினேன் / ஆ. ஊடி யிருந்தேமா	111	112	128	129	2	RESOLVED	132	1317,1312	entry-047.md
48	இனிய உளவாக	113	114	130	131	1	RESOLVED	10	100	entry-048.md
49	அ. கோட்டுப்பூச் சூடினும் / ஆ. நினைத்திருந்து நோக்கினும்	115	116	132	133	2	RESOLVED	132	1313,1320	entry-049.md
50	செவியிற் சுவையுணரா	117	118	134	135	1	RESOLVED	42	420	entry-050.md
51	காதலர் இல்வழி	119	120	136	137	1	RESOLVED	123	1224	entry-051.md
52	பகல்வெல்லும் கூகையை	121	122	138	139	1	RESOLVED	49	481	entry-052.md
53	கண்ணும் கொளச்சேறி	123	124	140	141	1	RESOLVED	125	1244	entry-053.md
54	புறங்குன்றி கண்டனையார்	125	126	142	143	1	RESOLVED	28	277	entry-054.md
55	கண்டு மன்னும்	127	128	144	145	1	RESOLVED	115	1146	entry-055.md
56	நன்றாற்ற லுள்ளும்	129	130	146	147	1	RESOLVED	47	469	entry-056.md
