id	record_type	anchor_scan	section_seq	section_heading	section_scan_span	source_work	poem_or_range	poet_or_attribution	composite_index	composite_count	anchor_page	section_readme	boundary_note
P001	formal-citation	19	001	மலர்மாரி பொழிகின்றேன்!	17–19	பத்துப்பாட்டு (குறிஞ்சிப்பாட்டு)	61 முதல் 95 முடிய	கபிலர்		1	pages/0019-malarmari-pozhiginren-02.md	works/sangatamil/sections/001-malarmari-pozhiginren/README.md	Sangam quotation begins on scan **17** after `இதோ; கபிலர் காட்டும் மலர்கள் காண்க:`; scan **18** is a full-page illustration; the quotation resumes and closes on scan **19** before the attribution block. No `பொருள் விளக்கம்` is printed for this unit. [page](../pages/0019-malarmari-pozhiginren-02.md) / [section](../sections/001-malarmari-pozhiginren/README.md)
P002	formal-citation	24	002	யாதும் ஊரே; யாவரும் கேளிர்!	20–24	புறநானூறு	பாடல் : 192	கணியன் பூங்குன்றன்		1	pages/0024-yaathum-oore-yaavarum-kelir-04.md	works/sangatamil/sections/002-yaathum-oore-yaavarum-kelir/README.md	Quoted Sangam verse begins and closes on scan **24**; the attribution block follows; `பொருள் விளக்கம் :` follows immediately with the printed gloss block. [page](../pages/0024-yaathum-oore-yaavarum-kelir-04.md) / [section](../sections/002-yaathum-oore-yaavarum-kelir/README.md)
P003	formal-citation	30	003	மானங்காத்த மறவன்!	25–30	புறநானூறு	பாடல்: 74	சேரமான் கணைக்கால் இரும்பொறை		1	pages/0030-maanangkaatha-maravan-06.md	works/sangatamil/sections/003-maanangkaatha-maravan/README.md	Quoted Sangam verse begins and closes on scan **30**; a separator follows the quotation; the printed provenance block follows; `பொருள் விளக்கம் :` then introduces the gloss block. [page](../pages/0030-maanangkaatha-maravan-06.md) / [section](../sections/003-maanangkaatha-maravan/README.md)
P004	formal-citation	36	004	துணை நின்றாள் தோழி!	31–36	ஐங்குறுநூறு	பாடல் : 180	அம்மூவனார்		1	pages/0036-thunai-nindraar-thozhi-06.md	works/sangatamil/sections/004-thunai-nindraar-thozhi/README.md	Quoted Sangam verse begins and closes on scan **36**; a separator follows; the provenance block follows; `பொருள் விளக்கம் :` follows with the printed gloss block. [page](../pages/0036-thunai-nindraar-thozhi-06.md) / [section](../sections/004-thunai-nindraar-thozhi/README.md)
P005	formal-citation	41	005	சுமந்தவள் சுமந்த சோகம்!	37–41	புறநானூறு	பாடல் : 286	ஒளவையார்		1	pages/0041-sumanthavan-sumantha-sogam-05.md	works/sangatamil/sections/005-sumanthavan-sumantha-sogam/README.md	Sangam quotation begins near the foot of scan **40**, continues onto scan **41**, and closes there; the provenance block follows the closing separator; `பொருள் விளக்கம் :` follows with the gloss block. [page](../pages/0041-sumanthavan-sumantha-sogam-05.md) / [section](../sections/005-sumanthavan-sumantha-sogam/README.md)
P006	formal-citation	46	006	பாவை புகழ்ந்த பன்றி	42–46	அகநானூறு	பாடல் : 248	கபிலர்		1	pages/0046-paavai-pugazhntha-panri-05.md	works/sangatamil/sections/006-paavai-pugazhntha-panri/README.md	Quoted Sangam verse begins and closes on scan **46**; a separator follows; the provenance block follows; `பொருள் விளக்கம் :` follows with the printed gloss block. [page](../pages/0046-paavai-pugazhntha-panri-05.md) / [section](../sections/006-paavai-pugazhntha-panri/README.md)
P007	formal-citation	49	007	காக்கைக்கு நன்றி காட்ட...	47–49	குறுந்தொகை	பாடல் : 210	காக்கைப்பாடினியார் நச்செள்ளையார்		1	pages/0049-kaakkaikku-nandri-kaatta-03.md	works/sangatamil/sections/007-kaakkaikku-nandri-kaatta/README.md	Narrative continuation from scan **47** resumes after the scan-48 illustration; the formal Sangam quotation itself begins and closes on scan **49**; the provenance block and `பொருள் விளக்கம் :` follow. [page](../pages/0049-kaakkaikku-nandri-kaatta-03.md) / [section](../sections/007-kaakkaikku-nandri-kaatta/README.md)
P008	formal-citation	54	008	மாவீரன் கண்ட மலர்கள்	50–54	அகநானூறு	பாடல் : 9	கல்லாடனார்		1	pages/0054-maatharin-kanda-malargal-05.md	works/sangatamil/sections/008-maatharin-kanda-malargal/README.md	Sangam quotation begins on scan **53**, continues onto scan **54**, and closes there; the provenance block and `பொருள் விளக்கம் :` follow on scan 54. [page](../pages/0054-maatharin-kanda-malargal-05.md) / [section](../sections/008-maatharin-kanda-malargal/README.md)
P009	formal-citation	58	009	நெல்லும் உயிர் அன்றே! நீரும் உயிர் அன்றே!	55–58	புறநானூறு	பாடல் : 186	மோசிகீரனார்		1	pages/0058-nellum-uyir-anre-neerum-uyir-anre-04.md	works/sangatamil/sections/009-nellum-uyir-anre-neerum-uyir-anre/README.md	Quoted Sangam verse begins and closes on scan **58**; the provenance block follows the closing separator; `பொருள் விளக்கம் :` follows with the gloss block. [page](../pages/0058-nellum-uyir-anre-neerum-uyir-anre-04.md) / [section](../sections/009-nellum-uyir-anre-neerum-uyir-anre/README.md)
P010	formal-citation	63	010	ஊரின் பெருமை உணர்த்தினள் ஒருத்தி!	59–64	புறநானூறு	பாடல் : 320	வீரைவெளியனார்		1	pages/0063-oorin-perumai-unarnthavar-oruthi-05.md	works/sangatamil/sections/010-oorin-perumai-unarnthavar-oruthi/README.md	Quoted Sangam verse begins and closes on scan **63**; the provenance block is at the foot of scan 63. Scan **64** carries `பொருள் விளக்கம் :` and the printed source note `குறிப்பு : வீரைவெளியனார் தோன்றிய வீராம்பட்டினம் புதுவைக்கு அருகே உள்ளது என புறநானூறு உரை கண்ட அறிஞர் ஔவை துரைசாமிப் பிள்ளை கூறுகிறார்.` [page](../pages/0063-oorin-perumai-unarnthavar-oruthi-05.md) / [section](../sections/010-oorin-perumai-unarnthavar-oruthi/README.md)
P011	formal-citation	69	011	வாணன் மணந்த வண்ணத் திருமகள்!	65–69	நற்றிணை	பாடல் : 380	கூடலூர்ப் பல்கண்ணனார்		1	pages/0069-vaanan-manandha-vannath-thirumagal-05.md	works/sangatamil/sections/011-vaanan-manandha-vannath-thirumagal/README.md	Quoted Sangam verse begins and closes on scan **69**; the single-line provenance block follows; a separator and `பொருள் விளக்கம் :` follow on the same scan. [page](../pages/0069-vaanan-manandha-vannath-thirumagal-05.md) / [section](../sections/011-vaanan-manandha-vannath-thirumagal/README.md)
P012	formal-citation	74	012	ஒரு பொது மகளின் புலம்பல்!	70–74	குறுந்தொகை	பாடல் : 8	ஆலங்குடி வங்கனார்		1	pages/0074-oru-pothu-magalin-pulambal-05.md	works/sangatamil/sections/012-oru-pothu-magalin-pulambal/README.md	Sangam quotation begins on scan **73**, continues onto scan **74**, and closes there; the single-line provenance block, separator, and `பொருள் விளக்கம் :` follow on scan 74. [page](../pages/0074-oru-pothu-magalin-pulambal-05.md) / [section](../sections/012-oru-pothu-magalin-pulambal/README.md)
P013	formal-citation	79	013	பிசிராந்தையார் 1	75–80	புறநானூறு	பாடல் : 184	பிசிராந்தையார்		1	pages/0079-pisiranthaiyar-1-04.md	works/sangatamil/sections/013-pisiranthaiyar-1/README.md	Quoted Sangam verse begins and closes on scan **79**; the provenance block follows the closing separator. Scan **80** carries the printed `பொருள் விளக்கம் :` block. [page](../pages/0079-pisiranthaiyar-1-04.md) / [section](../sections/013-pisiranthaiyar-1/README.md)
P014	formal-citation	84	014	பிசிராந்தையார் 2	81–84	புறநானூறு	பாடல் : 67	பிசிராந்தையார்		1	pages/0084-pisirandhaiyar-2-03.md	works/sangatamil/sections/014-pisiranthaiyar-2/README.md	Quoted Sangam verse begins and closes on scan **84**; the provenance block and `பொருள் விளக்கம் :` follow on the same scan. [page](../pages/0084-pisirandhaiyar-2-03.md) / [section](../sections/014-pisirandhaiyar-2/README.md)
P015	formal-citation	90	015	பிசிராந்தையார் 3	85–90	புறநானூறு	பாடல் : 191	பிசிராந்தையார்		1	pages/0090-pisirandhaiyar-3-05.md	works/sangatamil/sections/015-pisirandhaiyar-3/README.md	Quoted Sangam verse begins and closes on scan **90**; the provenance block follows, then `பொருள் விளக்கம் :` and the gloss block on the same scan. [page](../pages/0090-pisirandhaiyar-3-05.md) / [section](../sections/015-pisirandhaiyar-3/README.md)
P016	formal-citation	94	016	பிசிராந்தையார் 4	91–95	புறநானூறு	பாடல் : 215	கோப்பெருஞ்சோழன்		1	pages/0094-pisirandhaiyar-4-03.md	works/sangatamil/sections/016-pisirandhaiyar-4/README.md	First of two adjacent Sangam quotation/provenance units on scan **94**. Its quotation begins and closes on scan 94; attribution follows immediately. The shared printed `பொருள் விளக்கம் :` for both scan-94 citations is on scan **95**. [page](../pages/0094-pisirandhaiyar-4-03.md) / [section](../sections/016-pisirandhaiyar-4/README.md)
P017	formal-citation	94	016	பிசிராந்தையார் 4	91–95	புறநானூறு	பாடல் : 218	கண்ணகனார்		1	pages/0094-pisirandhaiyar-4-03.md	works/sangatamil/sections/016-pisirandhaiyar-4/README.md	Second of two adjacent Sangam quotation/provenance units on scan **94**. Its quotation and attribution follow the பாடல் 215 unit. Scan **95** carries the shared printed `பொருள் விளக்கம் :` block. [page](../pages/0094-pisirandhaiyar-4-03.md) / [section](../sections/016-pisirandhaiyar-4/README.md)
P018	formal-citation	101	017	உலைக் களத்து இரும்பும் ஒரு துளிநீரும்!	96–102	புறநானூறு	பாடல் : 21	ஐயூர் மூலங்கிழார்		1	pages/0101-ulaik-kaathu-irumbum-oru-thaniveeran-06.md	works/sangatamil/sections/017-ulaik-kaathu-irumbum-oru-thaniveeran/README.md	quotation/provenance scan 101; பொருள் விளக்கம் scan 102
P019	formal-citation	106	018	நடுக்கத்தில் கண்ட நயம்!	103–106	நற்றிணை	பாடல் : 100	பரணர்		1	pages/0106-nadukkathil-kanda-nayam-03.md	works/sangatamil/sections/018-nadukkaththil-kanda-nayam/README.md	quotation/provenance/gloss scan 106
P020	formal-citation	110	019	ஒரு தாயின் தாலாட்டு!	107–111	புறநானூறு	பாடல் : 310	பொன்முடியார்		1	pages/0110-oru-thaayin-thaalaattu-03.md	works/sangatamil/sections/019-oru-thaayin-thaalaattu/README.md	quotation/provenance scan 110; gloss scan 111
P021	formal-citation	115	020	புரிந்துகொண்டான்; பிரிந்துசென்றார்!	112–115	கலித்தொகை	பாடல் : 116 / (முல்லைக் கலி)	சோழன் நல்லுருத்திரன்		1	pages/0115-purinthukondaan-pirinthu-sendraal-03.md	works/sangatamil/sections/020-purinthukondaan-pirinthu-sendraal/README.md	quotation begins on scan 113, continues across the scan-114 illustration, and closes with provenance/gloss on scan 115
P022	formal-citation	119	021	மயங்கா மார்புடை மறவன் நீயே!	116–120	புறநானூறு	பாடல் : 378	ஊன்பொழிப் பசுங்குடையார் — shared note scan 120		1	pages/0119-muyangaa-vaazhkkai-maravan-neeye-03.md	works/sangatamil/sections/021-muyangaa-vaazhkkai-maravan-neeye/README.md	first paired quotation; shared poet note + gloss scan 120
P023	formal-citation	120	021	மயங்கா மார்புடை மறவன் நீயே!	116–120	புறநானூறு	பாடல் 10	ஊன்பொழிப் பசுங்குடையார் — shared note		1	pages/0120-muyangaa-vaazhkkai-maravan-neeye-04.md	works/sangatamil/sections/021-muyangaa-vaazhkkai-maravan-neeye/README.md	second paired quotation; shared note/two-part gloss scan 120
P024	formal-citation	125	022	வண்டு வந்தது ஏனடி?	121–125	நற்றிணை	பாடல் : 55	பாண்டியன் பெருவழுதி		1	pages/0125-vandu-vanthathu-enadi-04.md	works/sangatamil/sections/022-vandu-vanthathu-enadi/README.md	quotation/provenance/gloss scan 125
P025	formal-citation	130	023	வலவன் ஏவா வான ஊர்தி!	126–130	புறநானூறு	பாடல் : 27	உறையூர் முதுக்கண்ணன் சாத்தனார்		1	pages/0130-valavan-evaa-vaana-oorthi-05.md	works/sangatamil/sections/023-valavan-evaa-vaana-oorthi/README.md	quotation/provenance/gloss scan 130
P026	formal-citation	136	024	தேனாகச் சொட்டும் : தேளாகக் கொட்டும்!	131–136	நற்றிணை	பாடல் 177	(பெயர் தெரியவில்லை)		1	pages/0136-thookkich-saadavum-thookkik-kottavum-06.md	works/sangatamil/sections/024-thookkich-saadavum-thookkik-kottavum/README.md	quotation/provenance/gloss scan 136
P027	formal-citation	142	025	இளையோன் எதற்கும் இளையான்!	137–142	புறநானூறு	பாடல் : 72	தலையாலங்கானத்துச் செருவென்ற பாண்டியன் நெடுஞ்செழியன்		1	pages/0142-ilaiyaan-erinthum-ilaiyaan-06.md	works/sangatamil/sections/025-ilaiyaan-erinthum-ilaiyaan/README.md	quotation/provenance/gloss scan 142
P028	formal-citation	147	026	குக்கூ! என்றது கோழி!	143–147	குறுந்தொகை	பாடல் : 32	அள்ளூர் நன்முல்லையார்	1	2	pages/0147-kukkuu-endru-kelaai-05.md	works/sangatamil/sections/026-kukkuu-endru-kelaai/README.md	two distinct citation units; shared gloss scan 147
P029	formal-citation	147	026	குக்கூ! என்றது கோழி!	143–147	குறுந்தொகை	பாடல் : 157	அள்ளூர் நன்முல்லையார்	2	2	pages/0147-kukkuu-endru-kelaai-05.md	works/sangatamil/sections/026-kukkuu-endru-kelaai/README.md	two distinct citation units; shared gloss scan 147
P030	formal-citation	152	027	கவிஞர்கள் தெளித்த பன்னீரும் வடித்த கண்ணீரும்!	148–153	புறநானூறு	பாடல் : 226	மாறோக்கத்து நப்பசலையார்		1	pages/0152-kavignargal-ethirththa-pagaiyum-pazhiththa-kanaiyum-05.md	works/sangatamil/sections/027-kavignargal-ethirththa-pagaiyum-pazhiththa-kanaiyum/README.md	quotation/provenance scan 152; source-number note + gloss scan 153
P031	formal-citation	158	028	செவிலி தேடிய சித்திரப் பாவை!	154–158	கலித்தொகை : பாலைக்கலி	பாடல் : 8	பெருங்கடுங்கோ		1	pages/0158-pasikkili-thediya-siththirap-paavai-05.md	works/sangatamil/sections/028-pasikkili-thediya-siththirap-paavai/README.md	quotation/provenance/gloss scan 158
P032	formal-citation	163	029	பதிலை நெருப்பாக உமிழ்ந்த பாவாணர்!	159–164	புறநானூறு	பாடல் : 128	உறையூர் ஏணிச்சேரி முடமோசியார் — section source note	1	4	pages/0163-pathilai-neruppaaga-umizhndha-paavaanar-05.md	works/sangatamil/sections/029-pathilai-neruppaaga-umizhndha-paavaanar/README.md	four distinct units; shared source note names poet; gloss after fifth unit scan 164
P033	formal-citation	163	029	பதிலை நெருப்பாக உமிழ்ந்த பாவாணர்!	159–164	புறநானூறு	பாடல் : 130	உறையூர் ஏணிச்சேரி முடமோசியார் — section source note	2	4	pages/0163-pathilai-neruppaaga-umizhndha-paavaanar-05.md	works/sangatamil/sections/029-pathilai-neruppaaga-umizhndha-paavaanar/README.md	four distinct units; shared source note names poet; gloss after fifth unit scan 164
P034	formal-citation	163	029	பதிலை நெருப்பாக உமிழ்ந்த பாவாணர்!	159–164	புறநானூறு	பாடல் 131	உறையூர் ஏணிச்சேரி முடமோசியார் — section source note	3	4	pages/0163-pathilai-neruppaaga-umizhndha-paavaanar-05.md	works/sangatamil/sections/029-pathilai-neruppaaga-umizhndha-paavaanar/README.md	four distinct units; shared source note names poet; gloss after fifth unit scan 164
P035	formal-citation	163	029	பதிலை நெருப்பாக உமிழ்ந்த பாவாணர்!	159–164	புறநானூறு	பாடல் : 132	உறையூர் ஏணிச்சேரி முடமோசியார் — section source note	4	4	pages/0163-pathilai-neruppaaga-umizhndha-paavaanar-05.md	works/sangatamil/sections/029-pathilai-neruppaaga-umizhndha-paavaanar/README.md	four distinct units; shared source note names poet; gloss after fifth unit scan 164
P036	formal-citation	164	029	பதிலை நெருப்பாக உமிழ்ந்த பாவாணர்!	159–164	புறநானூறு	பாடல் : 134	உறையூர் ஏணிச்சேரி முடமோசியார் — section source note		1	pages/0164-pathilai-neruppaaga-umizhndha-paavaanar-06.md	works/sangatamil/sections/029-pathilai-neruppaaga-umizhndha-paavaanar/README.md	fifth unit; shared gloss scan 164
P037	formal-citation	170	030	காடைப் போர் கண்டுவந்த கணவன்!	165–170	கலித்தொகை	பாடல் 95 / (மருதக்கலி) எண் : 30	மருதன் இளநாகனார்.		1	pages/0170-kaavaippor-kanduvandha-kanavan-06.md	works/sangatamil/sections/030-kaavaippor-kanduvandha-kanavan/README.md	quotation/provenance/gloss scan 170
P038	formal-citation	174	031	தகரோன் தந்த கனி!	171–174	புறநானூறு	பாடல் 87, 91	அவ்வையார்		1	pages/0174-thagadooraan-thandha-kani-04.md	works/sangatamil/sections/031-thagadooraan-thandha-kani/README.md	single printed combined block for two poem numbers; gloss scan 174
P039	formal-citation	180	032	நீலமலை நீரினும் குளிர்ந்த நெஞ்சம்!	175–181	''பதிற்றுப் பத்து ''	ஒன்பதாம் பத்து	பெருங்குன்றூர்க் கிழார்		1	pages/0180-neermagal-neerinum-kulirndha-nenjam-06.md	works/sangatamil/sections/032-neermagal-neerinum-kulirndha-nenjam/README.md	quotation/provenance scan 180; gloss + வானியாறு note scan 181
P040	formal-citation	186	033	தலை கேட்டான் தம்பி!	182–187	புறநானூறு	பாடல்கள் : 158, 159, 162	பெருஞ்சித்திரனார்		1	pages/0186-thalai-ketpaan-thambi-05.md	works/sangatamil/sections/033-thalai-ketpaan-thambi/README.md	first source block; next citation/gloss scan 187
P041	formal-citation	187	033	தலை கேட்டான் தம்பி!	182–187	புறநானூறு	பாடல் : 165	பெருந்தலைச்சாத்தனார்		1	pages/0187-thalai-ketpaan-thambi-06.md	works/sangatamil/sections/033-thalai-ketpaan-thambi/README.md	second block; gloss scan 187
P042	formal-citation	192	034	அவள் நிலமானாள்; அவன் மழையானான்!	188–192	குறுந்தொகை	பாடல் :40	செம்புலப் பெயனீரார்		1	pages/0192-aval-neelamagal-avan-mazhaiyaanan-05.md	works/sangatamil/sections/034-aval-neelamagal-avan-mazhaiyaanan/README.md	quotation/provenance/gloss scan 192
P043	formal-citation	197	035	ஆட்சியும் மாட்சியும்!	193–197	புறநானூறு	பாடல் : 73,75	சோழன் நலங்கிள்ளி		1	pages/0197-aatchiyum-maatchiyum-05.md	works/sangatamil/sections/035-aatchiyum-maatchiyum/README.md	combined provenance block; gloss scan 197
P044	formal-citation	199	036	பறம்புமலைப் பாவேந்தர்	198–202	புறநானூறு	பாடல் : 109	கபிலர்		1	pages/0199-parambumalaip-paavendhar-02.md	works/sangatamil/sections/036-parambumalaip-paavendhar/README.md	first citation; second scan 201; closing gloss scan 202
P045	formal-citation	201	036	பறம்புமலைப் பாவேந்தர்	198–202	புறநானூறு	பாடல் 110	கபிலர்		1	pages/0201-parambumalaip-paavendhar-04.md	works/sangatamil/sections/036-parambumalaip-paavendhar/README.md	second citation; closing gloss scan 202
P046	formal-citation	213	038	காவிரிநாடன் கரிகாலன்!	208–213	பட்டினப்பாலை	—	கடியலூர் உருத்திரங் கண்ணனார்		1	pages/0213-kaaviri-naadan-karikaalan-06.md	works/sangatamil/sections/038-kaaviri-naadan-karikaalan/README.md	two quotation excerpts share one provenance block; gloss scan 213
P047	formal-citation	217	039	இசையாகிவிட்டவள்!	214–217	குறுந்தொகை	பாடல் : 178	நெடும்பல்லியத்தை (பெண்பாற்புலவர்)		1	pages/0217-isaiyaagi-vittaval-04.md	works/sangatamil/sections/039-isaiyaagi-vittaval/README.md	quotation/provenance/gloss scan 217
P048	formal-citation	221	040	போர்த்திசை நோக்கிய புலிப்போத்து!	218–221	புறநானூறு	பாடல் : 284	ஓரம்போகியார்		1	pages/0221-porthisai-nokkiya-pulippoththu-04.md	works/sangatamil/sections/040-porthisai-nokkiya-pulippoththu/README.md	quotation/provenance/gloss scan 221
P049	formal-citation	225	041	இங்கே வேண்டாம்... தங்கை இருக்கின்றாள்!	222–225	நற்றிணை	பாடல் : 172	(பெயர் தெரியவில்லை)		1	pages/0225-ingae-vendaam-thangai-irukkindraal-04.md	works/sangatamil/sections/041-ingae-vendaam-thangai-irukkindraal/README.md	quotation/provenance/gloss scan 225
P050	formal-citation	229	042	பாரி மகளிர் பாடிய செய்யுள்	226–229	புறநானூறு	பாடல் : 112	பாரி மகளிர்		1	pages/0229-paari-magalir-paadiya-seyyul-04.md	works/sangatamil/sections/042-paari-magalir-paadiya-seyyul/README.md	quotation/provenance/gloss scan 229
P051	formal-citation	234	043	தாமரைப் பொய்கையில் (?) தவழ்ந்தது நிலவு!	230–235	புறநானூறு	பாடல் : 71	பாண்டிய மன்னன் பூதப்பாண்டியன்		1	pages/0234-thaamaraip-poigaiyil-thavazhnthathu-nilavu-05.md	works/sangatamil/sections/043-thaamaraip-poigaiyil-thavazhnthathu-nilavu/README.md	first of adjacent units; second + shared gloss scan 235
P052	formal-citation	235	043	தாமரைப் பொய்கையில் (?) தவழ்ந்தது நிலவு!	230–235	புறநானூறு	பாடல் : 246	பாண்டியன் தேவி பெருங்கோப் பெண்டு		1	pages/0235-thaamaraip-poigaiyil-thavazhnthathu-nilavu-06.md	works/sangatamil/sections/043-thaamaraip-poigaiyil-thavazhnthathu-nilavu/README.md	second adjacent unit; gloss scan 235
P053	formal-citation	240	044	காட்டில் பிறந்த கவிதை!	236–240	குறுந்தொகை	பாடல் : 69	கடுந்தோள் கரவீரன்		1	pages/0240-kaattil-pirantha-kavithai-05.md	works/sangatamil/sections/044-kaattil-pirantha-kavithai/README.md	quotation/provenance/gloss scan 240
P054	formal-citation	243	045	வாடைக் காற்றில் வாடிய காதலி!	241–244	குறுந்தொகை	பாடல் 35	கழார்க் கீரன் எயிற்றி		1	pages/0243-vaadai-kaatril-vaadiya-kaathali-03.md	works/sangatamil/sections/045-vaadai-kaatril-vaadiya-kaathali/README.md	quotation/provenance scan 243; gloss scan 244
P055	formal-citation	248	046	வாளிங்கே-அவன் நாக்கெங்கே?	245–248	புறநானூறு	பாடல் : 278	காக்கைப்பாடினியார் நச்செள்ளையார்		1	pages/0248-vaalinge-avan-naakkenge-04.md	works/sangatamil/sections/046-vaalinge-avan-naakkenge/README.md	quotation/provenance/gloss scan 248
P056	formal-citation	253	047	குறளனுக்கோர் கூனியுண்டு!	249–253	கலித்தொகை	பாடல் : 94	மருதன் இளநாகனார்		1	pages/0253-kuralanukkor-kooniyundu-05.md	works/sangatamil/sections/047-kuralanukkor-kooniyundu/README.md	quotation/provenance + printed note; no separate gloss
P057	formal-citation	257	048	குப்பைக் கோழியார்!	254–257	குறுந்தொகை	பாடல் : 305	குப்பைக்கோழியார்		1	pages/0257-kuppai-kozhiyaar-04.md	works/sangatamil/sections/048-kuppai-kozhiyaar/README.md	quotation/provenance/gloss scan 257
P058	formal-citation	268	050	பழி தீர்த்துப் பகை முடித்தாள்!	263–268	அகநானூறு	பாடல் : 262	பரணர்		1	pages/0268-pazhi-theerththu-pagai-mudiththaal-06.md	works/sangatamil/sections/050-pazhi-theerththu-pagai-mudiththaal/README.md	quotation/provenance/gloss scan 268
P059	formal-citation	272	051	நாடு வாழவும் நலிவு தீரவும்...	269–272	புறநானூறு	பாடல் : 185	தொண்டைமான் இளந்திரையன்		1	pages/0272-naadu-vaazhavum-nalivu-theeravum-04.md	works/sangatamil/sections/051-naadu-vaazhavum-nalivu-theeravum/README.md	quotation/provenance/gloss scan 272
P060	formal-citation	280	053	எமக்குத் தென்றல்; எதிரிக்கோ புயல்!	277–280	புறநானூறு	பாடல் : 94	ஒளவையார்		1	pages/0280-emakkuth-thendral-ethirikko-puyal-04.md	works/sangatamil/sections/053-emakkuth-thendral-ethirikko-puyal/README.md	quotation/provenance/gloss scan 280
P061	formal-citation	282	054	கிலு கிலுப்பை வழங்கும் கிறுகிறுப்பு!	281–284	சிறுபாணாற்றுப்படை	55 முதல் 61 முடிய	நல்லூர் நத்தத்தனார்		1	pages/0282-kilu-kiluppai-vazhangum-kirukiruppu-02.md	works/sangatamil/sections/054-kilu-kiluppai-vazhangum-kirukiruppu/README.md	quotation/provenance scan 282; gloss after illustration on scan 284
P062	formal-citation	287	055	'இனம்' காட்டும் இயற்கைக் காட்சி!	285–287	நற்றிணை	பாடல் : 35.	அம்மூவனார்		1	pages/0287-inam-kaattum-iyarkkaik-kaatchi-03.md	works/sangatamil/sections/055-inam-kaattum-iyarkkaik-kaatchi/README.md	quotation/provenance/gloss scan 287
P063	formal-citation	291	056	வெறியாடும் வேலன் எதற்காக?	288–291	ஐங்குறுநூறு — (குறிஞ்சி)	242	கபிலர்		1	pages/0291-veriyaadum-velan-etharkaaga-04.md	works/sangatamil/sections/056-veriyaadum-velan-etharkaaga/README.md	quotation/provenance/gloss scan 291
P064	formal-citation	295	057	ஒல்லையூரில் முல்லையோ?	292–295	புறநானூறு	பாடல் : 242	குடவாயில் கீரத்தனார்		1	pages/0295-ollaiyooril-mullaiyo-04.md	works/sangatamil/sections/057-ollaiyooril-mullaiyo/README.md	quotation/provenance/gloss scan 295
P065	formal-citation	298	058	மறு பிறப்பு உண்டென்றால் மறக்க நேரிடுமோ?	296–298	நற்றிணை	பாடல் : 397	அம்மூவனார்		1	pages/0298-maru-pirappu-undendraal-marakkap-neridumo-03.md	works/sangatamil/sections/058-maru-pirappu-undendraal-marakkap-neridumo/README.md	quotation/provenance/gloss scan 298
P066	formal-citation	302	059	உண்பது நாழி; உடுப்பவை இரண்டே!	299–302	புறநானூறு	பாடல் 189	நக்கீரனார்		1	pages/0302-unbathu-naazhi-uduppavai-irande-04.md	works/sangatamil/sections/059-unbathu-naazhi-uduppavai-irande/README.md	quotation/provenance/gloss scan 302
P067	formal-citation	308	060	பரிபாடல்- பன்மலர்ப் பூங்கா!	303–308	பரிபாடல்	பாடல் : 10	கரும்பிள்ளைப் பூதனார்		1	pages/0308-paripaadal-panmalar-poongaa-06.md	works/sangatamil/sections/060-paripaadal-panmalar-poongaa/README.md	quotation/provenance/gloss scan 308; musical attribution preserved
P068	formal-citation	313	061	முரசு கட்டிலில் மோசுகீரனார்!	309–313	புறநானூறு	பாடல் : 50	மோசுகீரனார்		1	pages/0313-murasu-kattilil-mosukeeranar-05.md	works/sangatamil/sections/061-murasu-kattilil-mosukeeranar/README.md	quotation/provenance/gloss scan 313
P069	formal-citation	317	062	அடையாளம் தெரியாமல் அலையுதோ நெஞ்சம்!	314–317	நற்றிணை	பாடல் : 56	இளம் பெருவழுதி		1	pages/0317-adaiyaalam-theriyaamal-alaiyutho-nenjam-04.md	works/sangatamil/sections/062-adaiyaalam-theriyaamal-alaiyutho-nenjam/README.md	quotation/provenance/gloss scan 317
P070	formal-citation	322	063	கள் உண்ட கடுவன்!	318–322	அகநானூறு	பாடல் : 2 / (களிற்றியானை நிரை )	கபிலர்		1	pages/0322-kal-unda-kaduvan-05.md	works/sangatamil/sections/063-kal-unda-kaduvan/README.md	quotation/provenance/gloss scan 322
P071	formal-citation	327	064	ஒரு கோடி வாழ்த்துக் கூறிடுவோம்!	323–327	பெரும்பாணாற்றுப்படை	155 முதல் 168 முடிய	கடியலூர் உருத்திரங்கண்ணனார்		1	pages/0327-oru-kodi-vaazhththuk-kooriduvom-05.md	works/sangatamil/sections/064-oru-kodi-vaazhththuk-kooriduvom/README.md	quotation/provenance/gloss scan 327
P072	formal-citation	332	065	வீரனைப் பாடிய சேரன்!	328–332	புறநானூறு	பாடல் : 282	பாலைபாடிய பெருங்கடுங்கோ		1	pages/0332-veeranai-paadiya-cheran-05.md	works/sangatamil/sections/065-veeranai-paadiya-cheran/README.md	quotation/provenance/gloss scan 332
