seq	heading	scan_start	scan_end	scan_span	printed_pages	illustration_or_divider	section_readme	formal_provenance_unit_ids	source_note_ids
000	முன்பக்கங்கள் / front matter	1	16	1–16	II–IX visible; other preliminaries unnumbered	—	works/sangatamil/sections/000-front-matter/README.md		
001	மலர்மாரி பொழிகின்றேன்!	17	19	17–19	2–4	18	works/sangatamil/sections/001-malarmari-pozhiginren/README.md	P001	
002	யாதும் ஊரே; யாவரும் கேளிர்!	20	24	20–24	5–9	22	works/sangatamil/sections/002-yaathum-oore-yaavarum-kelir/README.md	P002	
003	மானங்காத்த மறவன்!	25	30	25–30	10–15	26	works/sangatamil/sections/003-maanangkaatha-maravan/README.md	P003	
004	துணை நின்றாள் தோழி!	31	36	31–36	16–21	32	works/sangatamil/sections/004-thunai-nindraar-thozhi/README.md	P004	
005	சுமந்தவள் சுமந்த சோகம்!	37	41	37–41	22–26	38	works/sangatamil/sections/005-sumanthavan-sumantha-sogam/README.md	P005	
006	பாவை புகழ்ந்த பன்றி	42	46	42–46	27–31	44	works/sangatamil/sections/006-paavai-pugazhntha-panri/README.md	P006	
007	காக்கைக்கு நன்றி காட்ட...	47	49	47–49	32–34	48	works/sangatamil/sections/007-kaakkaikku-nandri-kaatta/README.md	P007	
008	மாவீரன் கண்ட மலர்கள்	50	54	50–54	35–39	52	works/sangatamil/sections/008-maatharin-kanda-malargal/README.md	P008	
009	நெல்லும் உயிர் அன்றே! நீரும் உயிர் அன்றே!	55	58	55–58	40–43	56	works/sangatamil/sections/009-nellum-uyir-anre-neerum-uyir-anre/README.md	P009	
010	ஊரின் பெருமை உணர்த்தினள் ஒருத்தி!	59	64	59–64	44–49	60	works/sangatamil/sections/010-oorin-perumai-unarnthavar-oruthi/README.md	P010	
011	வாணன் மணந்த வண்ணத் திருமகள்!	65	69	65–69	50–54	66	works/sangatamil/sections/011-vaanan-manandha-vannath-thirumagal/README.md	P011	
012	ஒரு பொது மகளின் புலம்பல்!	70	74	70–74	55–59	72	works/sangatamil/sections/012-oru-pothu-magalin-pulambal/README.md	P012	
013	பிசிராந்தையார் 1	75	80	75–80	60–65	76	works/sangatamil/sections/013-pisiranthaiyar-1/README.md	P013	
014	பிசிராந்தையார் 2	81	84	81–84	66–69	82	works/sangatamil/sections/014-pisiranthaiyar-2/README.md	P014	
015	பிசிராந்தையார் 3	85	90	85–90	70–75	86	works/sangatamil/sections/015-pisirandhaiyar-3/README.md	P015	
016	பிசிராந்தையார் 4	91	95	91–95	76–80	92	works/sangatamil/sections/016-pisirandhaiyar-4/README.md	P016,P017	
017	உலைக் களத்து இரும்பும் ஒரு துளிநீரும்!	96	102	96–102	81–87	98	works/sangatamil/sections/017-ulaik-kaathu-irumbum-oru-thaniveeran/README.md	P018	
018	நடுக்கத்தில் கண்ட நயம்!	103	106	103–106	88–91	104	works/sangatamil/sections/018-nadukkaththil-kanda-nayam/README.md	P019	
019	ஒரு தாயின் தாலாட்டு!	107	111	107–111	92–96	108	works/sangatamil/sections/019-oru-thaayin-thaalaattu/README.md	P020	
